bibtex_key,status,archive_source,title,authors,doi
www25llmyangyangli,review,2025/05/WWW25-LLM-YangyangLi.pdf,Leveraging LLMs for Influence Path Planning in Proactive Recommendation,"Li, Yangyang and others",10.1145/3701716.3715537
tip25detectionyangyangli,extracted,2025/09/TIP25-Detection-YangyangLi.pdf,Source-Free Object Detection With Detection Transformer,Detection Transformer Huizai Yao Sicheng Zhao and Shuo Lu and Hui Chen Yangyang Li Guoping Liu and Tengfei Xing and Chenggang Yan,10.1109/TIP.2025.3607621
cogsci24violenceyangyangli,review,2024/08/CogSci24-Violence-YangyangLi.pdf,ADViRDS: Assessment of Domestic Violence Risk Dataset and Scale on Social Media,"Li, Yangyang and others",
dtpi24synthesisyangyangli,extracted,2024/12/DTPI24-Synthesis-YangyangLi.pdf,Design and Application of the Digital Human Identity Attribute Data Synthesis System,Identity Attribute Data Synthesis System Yapeng Ji∗† and Yangyang Li† and Yunji Liang∗ and Bin Guo∗ and Yangzhao Yang†,10.1109/DTPI61353.2024.10778801
emnlp24llmyangyangli,extracted,2025/05/EMNLP24-LLM-YangyangLi.pdf,"Findings of the Association for Computational Linguistics: EMNLP 2024 , pages 12163–12173",November 12-16 and 2024 ©2024 Association for Computational Linguistics Dual-Phase Accelerated Prompt Optimization Muchen Yang1 and Moxin Li 2* and Yongle Li 3 and Zijun Chen 3 Chongming Gao1* and Junqi Zhang 4 and Yangyang Li 5 and Fuli Feng 1 and 3,
tkde24rumoryangyangli,review,2024/08/TKDE24-Rumor-YangyangLi.pdf,Focusing on Relevant Responses for Multi-modal Rumor Detection,"Li, Yangyang and others",10.1109/TKDE.2024.3389694
jmlcgnnriyangyangli,extracted,2024/10/JMLC-GNNRI-YangyangLi.pdf,GNNRI: detecting anomalous social network users through heterogeneous information networks and user relevance exploration,through heterogeneous information networks and user relevance exploration Yangyang Li1 · Xinyue Sun2 · Renyu Yang3 · Xiaoyang Sun4 · Shiru Chen5 · Shuhai Wang6 · Md Zakirul Alam Bhuiyan7 · Albert Y . Zomaya8 · Jie Xu4 © The Author(s) and under exclusive licence to Springer-Verlag GmbH Germany and part of Springer Nature 2024 Detecting anomalous users in social networks is an imperative but challenging task. The increasing complexity of inter-,10.1007/s13042-024-02392-0
www24graphyangyangli,review,2024/08/WWW24-Graph-YangyangLi.pdf,Graph Anomaly Detection with Bi-level Optimization,"Li, Yangyang and others",10.1145/3589334.3645673
tcss24stanceyangyangli,extracted,2024/08/TCSS24-Stance-YangyangLi.pdf,Knowledge-Augmented Interpretable Network for Zero-Shot Stance Detection on Social Media,Zero-Shot Stance Detection on Social Media Bowen Zhang and Daijun Ding and Zhichao Huang and Ang Li and Yangyang Li and Baoquan Zhang and Hu Huang increasingly important for understanding public opinions on controversial issues. Existing methods often require large amounts of labeled data to learn t arget-independent transferable knowledge and which is infeasible under zero-shot settings where,10.1109/TCSS.2024.3388723
dtpi24agentyangyangli,review,2024/12/DTPI24-Agent-YangyangLi.pdf,Test-Agent: A Multimodal App Automation Testing Framework Based on the Large Language Model,"Li, Yangyang and others",10.1109/DTPI61353.2024.10778901
icmlc23graphyangyangli,review,2024/08/ICMLC23_Graph_YangyangLi.pdf,"A Perspective Survey on Industrial Knowledge Graphs: Recent Advances, Open Challenges, and Future Directions","Li, Yangyang and others",10.1109/ICMLC58545.2023.10327989
mcom23quantumyangyangli,extracted,2023/06/MCOM23-Quantum-YangyangLi.pdf,A Segment-based Multipath Distribution Method in Partially-Trusted Relay Quantum Networks,Partially-Trusted Relay Quantum Networks Mingjun Wang and Jian Li and Kaiping Xue and Ruidong Li and Nenghai Yu and Yangyang Li and Yifeng Liu and Qibin Sun and Jun Lu tion technology and Quantum Key Distribution (QKD) can provide information-theoretically secure key exchange for adjacent com- munication parties. To achieve long-distance secure communica-,
ijmlc23smartgridyangyangli,review,2023/06/IJMLC23-SmartGrid-YangyangLi.pdf,Enhanced neighborhood node graph neural networks for load forecasting in smart grid,"Li, Yangyang and others",10.1007/s13042-023-01796-8
www23fedackyangyangli,extracted,2023/06/WWW23-FedACK-YangyangLi.pdf,FedACK: Federated Adversarial Contrastive Knowledge Distillation for Cross-Lingual and Cross-Model Social Bot Detection,Distillation for Cross-Lingual and Cross-Model Social Bot Detection Yingguang Yang Renyu Yang∗ Hao Peng∗ Yangyang Li∗,10.1145/3543507.3583500
csse23eventyangyangli,review,2022/08/CSSE23_Event_YangyangLi.pdf,Future Event Prediction Based on Temporal Knowledge Graph Embedding,"Li, Yangyang and others",10.32604/csse.2023.026823
iasc23dropoutyangyangli,review,2023/06/IASC23-Dropout-YangyangLi.pdf,Guided Dropout: Improving Deep Networks Without Increased Computation,"Li, Yangyang and others",10.32604/iasc.2023.033286
aaai23hgslyangyangli,extracted,2023/06/AAAI23-HG-SL-YangyangLi.pdf,HG-SL: Jointly Learning of Global and Local User Spreading Behavior for Fake,News Early Detection Ling Sun1 and Yuan Rao1∗ and Yuqian Lan1 and Bingcan Xia 1 and Yangyang Li2,
tallip23stancedetectionyangyangli,review,2023/06/TALLIP23-StanceDetection-YangyangLi.pdf,Knowledge-enhanced Prompt-tuning for Stance Detection,"Li, Yangyang and others",10.1145/3588767
kais23nodeyangyangli,extracted,2023/08/KAIS23-Node-YangyangLi.pdf,Node classification across networks via category-level domain adaptive network embedding,domain adaptive network embedding Boshen Shi 1 and 2 · Yongqing Wang 1 · Jiangli Shao 1 and 2 · Huawei Shen 1 · Yangyang Li 3 and 4 · Xueqi Cheng 1 © The Author(s) and under exclusive licence to Springer-Verlag London Ltd. and part of Springer Nature 2023 To improve the performance of classifying nodes on unlabeled or scarcely-labeled networks the task of node classification across networks is proposed for transferring knowledge from,10.1007/s10115-023-01942-2
tweb23rosgasyangyangli,review,2023/06/TWEB23-RosGAS-YangyangLi.pdf,RoSGAS: Adaptive Social Bot Detection with Reinforced Self-supervised GNN Architecture Search,"Li, Yangyang and others",10.1145/3572403
cam22botyangyangli,review,2022/04/CAM22-Bot-YangyangLi.pdf,/G21/G22/G23/G24/G25/G26/G27 /G21/G22/G23/G22/G22,"Li, Yangyang and others",
ijcnn22targetyangyangli,review,2022/10/IJCNN22-Target-YangyangLi.pdf,A research of target tracking algorithm based on deep learning and kernel correlation filter,"Li, Yangyang and others",10.1109/IJCNN55064.2022.9892579
hoticn22flyangyangli,extracted,2023/06/HotICN22-FL-YangyangLi.pdf,A Voting-Based Poisoning Attack to Federated Learning with Quantization,Learning with Quantization Xinyu Ma∗ and Lingbo Wei† and Bingbing Zhang† and Yuan Wang‡ and Chi Zhang∗ and Yangyang Li‡,10.1109/HOTICN57539.2022.10036222
ijcnn22targetyangyangli,review,2022/05/IJCNN22-Target-YangyangLi.pdf,a358850d20502449a5ee72525278f82c.pdf,"Li, Yangyang and others",
cikm22dbscanyangyangli,review,2022/10/CIKM22-DBSCAN-YangyangLi.pdf,CIKM22-DBSCAN-YangyangLi,"Li, Yangyang and others",
ijcnn22botyangyangli,review,2022/05/IJCNN22-Bot-YangyangLi.pdf,Domain-Aware Federated Social Bot Detection with,"Li, Yangyang and others",
ijcnn22botyangyangli,extracted,2022/10/IJCNN22-Bot-YangyangLi.pdf,Domain-Aware Federated Social Bot Detection with Multi-Relational Graph Neural Networks,Multi-Relational Graph Neural Networks Huailiang Peng 1 and 2 and 3 and Yujun Zhang 1 and 2 and Hao Sun 3 and Xu Bai 3 and Yangyang Li 4 and Shuhai Wang 5,10.1109/IJCNN55064.2022.9892366
ijmlc22moreyangyangli,review,2023/06/IJMLC22-MORE-YangyangLi.pdf,MORE: Toward Improving Author Name Disambiguation in Academic Knowledge Graphs,"Li, Yangyang and others",10.1007/s13042-022-01686-5
nn22brainyangyangli,review,2022/08/NN22-Brain-YangyangLi.pdf,Neural Networks 154 (2022) 56–67 Contents lists available at ScienceDirect,"Li, Yangyang and others",10.1016/j.neunet.2022.06.035
symmetry22botyangyangli,extracted,2021/12/symmetry22-Bot-YangyangLi.pdf,Social Bots Detection via Fusing BERT and Graph Convolutional Networks,Convolutional Networks Qinglang Guo 1 and 2 Haiyong Xie 1 and 3 and 4 and * Yangyang Li 2 and Wen Ma 5 and Chao Zhang 2 /gid00030/gid00035/gid00032/gid00030/gid00038/gid00001/gid00033/gid00042/gid00045/gid00001,10.3390/sym14010030
hoticn22fl2yangyangli,extracted,2023/06/HotICN22-FL2-YangyangLi.pdf,Using Federated Learning to Predict Vulnerability Exploitability,Exploitability Wangyuan Jing∗ and Lingbo Wei† and Hao Jin‡ and Chi Zhang∗ and Wenxiang Dong† and Yangyang Li‡,10.1109/HOTICN57539.2022.10036231
jxju22botyangyangli,review,2022/03/JXJU22-Bot-YangyangLi.pdf,西安交通大学学报(社会科学版),"Li, Yangyang and others",
xju22botyangyangli,review,2022/08/XJU22_Bot_YangyangLi.pdf,西安交通大学学报(社会科学版) 2022年7月 第42卷 第4期 【收稿日期】2021G05G15,"Li, Yangyang and others",
socialcomdatayangyangli,review,2021/04/SocialCom-DATA-YangyangLi.pdf,A Multi-Granularity Targeted Covert Collection Scheme for Internet Data,"Li, Yangyang and others",10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00139
bsci21eventyangyangli,extracted,2021/06/BSCI21-Event-YangyangLi.pdf,An Anomaly Event Detection Method Based on GNN Algorithm for Multi-data Sources,for Multi-data Sources Yipeng Ji1 and Jingyi Wang1 and Shaoning Li2 and Yangyang Li3 and Shenwen Lin4 and Xiong Li5 and 6∗,10.1145/3457337.3457846
bsci21blockchainyangyangli,extracted,2021/06/BSCI21-Blockchain-YangyangLi.pdf,An Optimization Strategy for PBFT Consensus Mechanism Based On Consortium Blockchain,Based On Consortium Blockchain Feilong Wang1∗ and Yipeng Ji2∗ and Mingsheng Liu3∗ and Yangyang Li4† and Xiong Li5 and 6 and Xu Zhang7 and Xiaojun Shi8,10.1145/3457337.3457843
mmasia21multimodalyangyangli,extracted,2022/01/MMAsia21-Multimodal-YangyangLi.pdf,Focusing Attention across Multiple Images for Multimodal Event Detection,Detection Yangyang Li,10.1145/3469877.3495642
jcaeit21botyangyangli,review,2021/06/JCAEIT21-Bot-YangyangLi.pdf,Journal ofCA E IT M ar. 20 21 檵檵檵檵檵檵檵檵 檵檵檵檵檵檵檵檵,"Li, Yangyang and others",
tkde21socialyangyangli,review,2021/12/TKDE21-Social-YangyangLi.pdf,Learning Discriminative Text Representation for Streaming Social Event Detection,"Li, Yangyang and others",
cikm21locateyangyangli,extracted,2021/12/CIKM21-Locate-YangyangLi.pdf,Locate Who You Are: Matching Geo-location to Text for User Identity Linkage,Identity Linkage Jiangli Shao1 and 2 and Yongqing Wang1 and Hao Gao1 and 2 and Huawei Shen1 and Yangyang Li3 and Xueqi Cheng1,10.1145/3459637.3482134
ijcnn21socialyangyangli,review,2021/12/IJCNN21-Social-YangyangLi.pdf,Relevance-Aware Anomalous Users Detection in Social Network via Graph Neural Network,"Li, Yangyang and others",10.1109/IJCNN52387.2021.9534136
socialcomppmyangyangli,extracted,2021/04/SocialCom-PPM-YangyangLi.pdf,Resource Allocation Optimization with Guaranteed Security Level for Anti-Traceable Access,Security Level for Anti-traceable Access Bo Jin1 and 2 and Hao Jin2♦ and Yashen Wang2 and Yangyang Li2 Xi Luo1 and Xiaoqing Gong1 and Xiaoyan Yin1∗,10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00140
ispa21socialyangyangli,review,2022/08/ISPA21-Social-YangyangLi.pdf,Robust Social Event Detection via Deep Clustering,"Li, Yangyang and others",10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00116
ispa21social2yangyangli,review,2022/08/ISPA21-Social2-YangyangLi.pdf,Semantic Social Event Evolution Discovering,"Li, Yangyang and others",10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00171
iccai20citycomputingyangyangli,review,2020/08/ICCAI20-CityComputing-YangyangLi.pdf,A Distributed Anomaly Filtering Algorithm for Heterogeneous Data Based on City Computing,"Li, Yangyang and others",10.1145/3404555.3404636
cmc20socialnetworksyangyangli,extracted,2019/12/CMC20-SocialNetworks-YangyangLi.pdf,"Computers, Materials & Continua CMC, vol.62, no.1, pp.137-155, 2020",CMC. doi:10.32604/cmc.2020.05825 www.techscience.com/cmc Research on Privacy Disclosure Detection Method in Social Networks Based on Multi-Dimensional Deep Learning Yabin Xu1 and 2 and * and Xuyang Meng1 and Yangyang Li3 and Xiaowei Xu4 and * networks and avoid unnecessary harm to users and this paper takes microblog as the research object to study the detection of privacy disclosure in social networks. First and we perform,10.32604/cmc.2020.05825
cmc20sdnyangyangli,extracted,2019/12/CMC20-SDN-YangyangLi.pdf,"Computers, Materials & Continua CMC, vol.62, no.1, pp.385-398, 2020",CMC. doi:10.32604/cmc.2020.06418 www.techscience.com/cmc An OpenFlow-Based Load Balancing Strategy in SDN Xiaojun Shi1 and Yangyang Li2 and * and Haiyong Xie2 and 3 and Tengfei Yang2 and Linchao Zhang2 Panyu Liu4 and Heng Zhang4 and Zhiyao Liang5 traffic is unprecedented and which brings not only the booming of network development and but also the problem of network performance degradation and such as more chance of network,10.32604/cmc.2020.06418
mta20semanticyangyangli,review,2020/05/MTA20-Semantic-YangyangLi.pdf,Context propagation embedding network for weakly supervised semantic segmentation,"Li, Yangyang and others",10.1007/s11042-020-08787-9
icais20androidyangyangli,extracted,2020/09/ICAIS20-Android-YangyangLi.pdf,Effective Android Malware Detection Based on Deep Learning,Based on Deep Learning Yueqi Jin1 and 2 and 3 and Tengfei Yang1(B) and Yangyang Li1 and Haiyong Xie1 and 3,10.1007/978-981-15-8083-3
mta203dyangyangli,review,2020/05/MTA20-3D-YangyangLi.pdf,Exploring contextual information for view-wised 3D model retrieval,"Li, Yangyang and others",10.1007/s11042-020-08967-7
mcom20networkyangyangli,review,2020/02/MCOM20-Network-YangyangLi.pdf,IEEE Communications Magazine • January 2020 0163-6804/20/$25.00 © 2020 IEEE,"Li, Yangyang and others",10.1109/MCOM.001.1800923
electronics20socialyangyangli,extracted,2020/04/electronics20-Social-YangyangLi.pdf,Intelligent Prediction of Private Information Diffusion in Social Networks,Diffusion in Social Networks Yangyang Li 1* Hao Jin 1 and Xiangyi Yu 1 and Haiyong Xie 1 and 2 and Yabin Xu 3 and Huajun Xu 3 and Huacheng Zeng 4,10.3390/electronics9050719
